Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
ISRA,VanEck Israel ETF,Equity,"$106,617,000",11.60%,"6,545",$48.60,0.08%,No,False,-1.02%,-6.38%,36.51%,5.28%,7.46%,"$8,302,992.50",$0.00,$0.00,"$11,403,007.50","$22,127,482.50","$18,053,022.50",Global Equities,2013-06-25,0.59%,N/A,$0.52,2024-12-23,$0.52,1.02%,7.71,1.00,81,52.74%,40%,20%,1099,$48.02,$53.75,$48.33,$48.76,41.64,C+,B,B-,B-,B,A,6.55,0.00%,55.39%,80.72,4.25%,5.88%
SIXO,AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,Equity,"$106,544,000",3.65%,"85,134",$33.58,0.21%,No,False,0.51%,1.00%,11.25%,9.29%,N/A,"-$143,679,187.50",$0.00,"-$5,854,570.00","-$14,341,882.50","$48,095,802.50","$60,506,742.50",Volatility Hedged Equity,2021-09-30,0.74%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.58,2,100.00%,40%,20%,1099,$33.26,$33.58,$33.56,$33.60,68.73,B+,B-,A-,A-,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AVL,Direxion Daily AVGO Bull 2X Shares,Equity,"$106,435,000",42.64%,"388,269",$49.01,5.85%,No,False,13.63%,27.93%,N/A,N/A,N/A,"$18,930,400.00","-$1,157,550.00","-$4,328,200.00","$55,372,825.00","$55,372,825.00","$55,372,825.00",N/A,2024-10-10,0.99%,N/A,$0.40,2025-06-24,$0.19,0.81%,N/A,N/A,2,100.00%,40%,20%,1099,$38.46,$48.38,$47.36,$49.86,67.13,N/A,N/A,N/A,N/A,N/A,N/A,6.02,40.31%,35.93%,5.66,0.00%,0.06%
EPHE,iShares MSCI Philippines ETF,Equity,"$106,343,000",7.33%,"89,367",$26.55,1.37%,No,False,1.49%,-2.14%,5.34%,1.13%,1.68%,"$8,209,830.00","$3,975,015.00","$3,843,090.00","$7,069,535.00","$5,409,830.00","-$1,832,150.00",Asia Pacific Equities,2010-09-28,0.59%,N/A,$0.54,2025-06-16,$0.33,2.09%,15.10,0.70,33,64.70%,40%,20%,1099,$25.64,$27.09,$26.41,$26.63,49.80,A-,B,C,C,C,C+,3.99,0.00%,3.28%,321.72,6.85%,8.17%
UFO,Procure Space ETF,Equity,"$106,162,000",31.98%,"98,025",$30.55,1.53%,No,False,0.85%,2.77%,82.84%,13.14%,8.73%,"$40,085,137.50",$0.00,"$20,347,590.00","$46,379,687.50","$19,767,510.00","$81,476,417.50",Global Equities,2019-04-11,0.75%,N/A,$0.50,2025-06-27,$0.08,1.65%,0.06,1.10,43,54.06%,40%,20%,1099,$29.35,$31.57,$30.40,$30.74,59.02,B,C+,N/A,C+,B+,N/A,5.72,34.04%,29.51%,19.44,17.12%,0.35%
IEZ,iShares U.S. Oil Equipment & Services ETF,Equity,"$105,811,000",-10.19%,"313,522",$17.61,1.50%,No,False,-1.45%,-4.40%,-15.66%,3.81%,13.17%,"-$27,395,240.60",$0.00,"-$4,472,198.45","-$17,093,290.10","-$38,749,929.35","$23,134,985.90",Energy Equities,2006-05-01,0.38%,N/A,$0.36,2025-06-16,$0.10,2.10%,20.96,1.95,30,79.54%,40%,20%,1099,$16.74,$18.95,$17.45,$17.76,49.34,B+,B+,A-,B,B,B+,6.5,68.47%,53.32%,120.76,2.01%,0.48%
FEBW,AllianzIM U.S. Large Cap Buffer20 Feb ETF,Equity,"$105,539,000",5.17%,"6,783",$32.58,0.43%,No,False,0.97%,1.56%,9.97%,N/A,N/A,"$39,655,107.50",$0.00,"-$1,617,590.00","$24,416,472.50","$76,372,815.00","$76,372,815.00",Volatility Hedged Equity,2023-01-31,0.74%,N/A,$0.00,2024-01-16,$0.04,0.00%,0.00,-0.52,2,100.00%,40%,20%,1099,$32.06,$32.55,$32.55,$32.60,68.32,B+,B,N/A,A-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IDNA,iShares Genomics Immunology and Healthcare ETF,Equity,"$105,399,000",-3.64%,"26,436",$21.65,2.85%,No,False,0.32%,2.17%,-7.90%,-12.49%,-9.68%,"-$10,890,815.00",$0.00,"-$3,175,935.00","-$15,578,195.00","-$36,366,290.00","$113,803,145.00",Health & Biotech Equities,2019-06-11,0.47%,N/A,$0.26,2025-06-16,$0.15,1.23%,11.11,0.90,43,43.10%,40%,20%,1099,$20.78,$22.45,$21.32,$21.81,54.01,B+,B,A-,C+,B,N/A,4.98,8.14%,19.69%,30.73,0.00%,26.36%
ZAUG,Innovator Equity Defined Protection ETF - 1 Yr August,Equity,"$105,020,000",5.31%,"38,634",$26.20,0.34%,No,False,0.65%,1.18%,9.09%,N/A,N/A,"$25,310,725.00","$16,936,005.00","$42,289,022.50","$40,998,597.50","$99,048,518.45","$99,048,518.45",N/A,2024-08-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,2,100.00%,40%,20%,1099,$25.81,$26.25,$26.10,$26.26,78.39,N/A,B-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TRFK,Pacer Data and Digital Revolution ETF,Equity,"$104,783,000",24.43%,"20,663",$62.86,1.95%,No,False,2.59%,6.05%,52.49%,35.56%,N/A,"$36,300,382.00","$7,407,724.00","$23,360,254.00","$49,996,046.00","$80,622,208.00","$81,634,582.69",Technology Equities,2022-06-08,0.49%,N/A,$0.02,2024-09-26,$0.02,0.03%,0.04,-1.34,84,68.03%,40%,20%,1099,$60.26,$63.13,$62.09,$63.25,64.21,B-,B-,N/A,C,B,N/A,7.42,90.99%,86.81%,15.86,7.95%,13.46%
LVDS,JPMorgan Fundamental Data Science Large Value ETF,Equity,"$104,498,000",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$94,037,608.77",$0.00,$0.00,"$94,037,608.77","$94,037,608.77","$94,037,608.77",N/A,2025-07-11,0.30%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122,19.70%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,Equity,"$103,932,000",21.83%,"19,911",$23.50,1.42%,No,False,3.75%,6.60%,22.85%,12.54%,7.98%,"-$2,910,580.00",$0.00,$0.00,"-$12,346,275.00","$76,529,570.00","$88,838,670.00",Emerging Markets Equities,2019-05-02,0.70%,N/A,$0.92,2025-06-05,$0.14,3.92%,0.10,0.87,101,22.80%,40%,20%,1099,$21.95,$23.40,$23.40,$23.56,70.15,C+,C+,N/A,C+,N/A,N/A,5.57,4.12%,27.33%,530.05,7.28%,7.17%
AMID,Argent Mid Cap ETF,Equity,"$103,892,000",-0.19%,"8,836",$34.06,2.16%,No,False,0.20%,1.76%,4.09%,N/A,N/A,"$7,358,235.00",$0.00,"$1,333,478.00","$29,553,735.00","$77,569,035.00","$77,569,035.00",N/A,2022-08-17,0.52%,N/A,$0.11,2024-12-30,$0.11,0.33%,13.00,1.28,47,33.86%,40%,20%,1099,$33.03,$34.83,$33.81,$34.19,54.78,B+,B+,A-,C+,B-,N/A,6.47,80.99%,52.31%,28.48,3.55%,4.03%
RSPR,Invesco S&P 500 Equal Weight Real Estate ETF,Equity,"$103,871,000",-2.19%,"9,238",$34.41,0.82%,No,False,-1.65%,-2.61%,-1.63%,-0.16%,7.74%,"-$836,560.00",$0.00,"$347,970.00","$7,599,260.00","-$24,120,370.00","$98,387,420.00",Real Estate,2015-08-13,0.40%,N/A,$0.22,2024-12-23,$0.22,0.63%,N/A,N/A,32,35.05%,40%,20%,1099,$34.04,$36.44,$34.21,$34.51,43.41,B+,A-,C,C+,A-,N/A,6.15,48.81%,39.62%,68.14,3.28%,16.03%
CNBS,Amplify Seymour Cannabis ETF,Equity,"$103,719,000",14.91%,"17,848",$28.27,-1.57%,No,False,31.46%,52.72%,-19.99%,-22.49%,-20.38%,"$67,296,174.27",$0.00,$0.00,"$66,433,994.27","$67,921,669.27","$222,131,859.27",Small Cap Blend Equities,2019-07-23,0.77%,N/A,$0.07,2024-12-30,$0.89,0.45%,0.00,1.62,25,94.11%,40%,20%,1099,$13.10,$26.09,$26.76,$30.36,76.57,B-,C+,N/A,N/A,C+,N/A,5.5,0.00%,26.27%,26.55,2.51%,0.00%
TRIO,MC Trio Equity Buffered ETF,Equity,"$103,583,000",N/A,714,$63.89,0.65%,No,False,1.17%,1.59%,N/A,N/A,N/A,"$96,437,929.00",$0.00,$0.00,"$96,437,929.00","$96,437,929.00","$96,437,929.00",N/A,2025-03-05,0.70%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.00%,40%,20%,1099,$62.78,$63.78,$63.71,$63.98,66.53,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DXIV,Dimensional International Vector Equity ETF,Equity,"$103,158,000",26.60%,"8,209",$59.91,1.20%,No,False,2.54%,2.97%,N/A,N/A,N/A,"$36,962,766.65",$0.00,$0.00,"$85,040,640.71","$85,040,640.71","$85,040,640.71",N/A,2024-09-12,0.30%,N/A,$1.20,2025-06-24,$0.76,2.08%,N/A,N/A,2711,6.24%,40%,20%,1099,$57.09,$60.20,$59.59,$60.10,64.19,N/A,N/A,N/A,N/A,N/A,N/A,7.17,18.13%,80.06%,132.37,7.80%,5.29%
ZMAR,Innovator Equity Defined Protection ETF - 1 Yr March,Equity,"$103,065,000",N/A,"12,408",$26.82,0.30%,No,False,0.50%,1.00%,N/A,N/A,N/A,"$99,146,224.06",$0.00,"-$1,999,750.00","$99,146,224.06","$99,146,224.06","$99,146,224.06",N/A,2025-03-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,2,100.00%,40%,20%,1099,$26.57,$26.79,$26.78,$26.84,69.74,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PHEQ,Parametric Hedged Equity ETF,Equity,"$102,894,000",6.87%,"14,613",$31.39,0.51%,No,False,1.08%,1.83%,15.01%,N/A,N/A,"$24,760,000.00","$1,558,000.00","$3,119,000.00","$56,606,000.00","$70,071,500.00","$70,071,500.00",N/A,2023-10-16,0.29%,N/A,$0.41,2025-06-23,$0.08,1.33%,N/A,N/A,191,39.71%,40%,20%,1099,$30.88,$31.39,$31.31,$31.43,65.54,B+,A-,N/A,A-,B+,N/A,6.09,58.29%,37.96%,113.39,10.12%,7.48%
SPVU,Invesco S&P 500® Enhanced Value ETF,Equity,"$102,501,000",6.24%,"11,280",$51.60,1.63%,No,False,1.66%,-1.84%,12.03%,9.31%,14.89%,"$3,818,590.00","-$1,522,290.00","-$3,076,700.00","-$5,856,720.00","-$51,719,500.00","-$13,575,790.00",Large Cap Value Equities,2015-10-09,0.13%,N/A,$1.37,2025-06-23,$0.32,2.65%,8.21,1.14,101,41.00%,40%,20%,1099,$50.04,$52.74,$51.16,$51.84,52.26,B-,A,A,C+,B+,B,6.11,18.16%,38.54%,96.25,9.23%,1.51%
KOCT,Innovator U.S. Small Cap Power Buffer ETF - October,Equity,"$102,444,000",2.47%,"8,863",$31.33,1.82%,No,False,1.43%,1.12%,8.71%,6.07%,4.52%,"-$31,639,602.50",$0.00,"$1,551,440.00","$17,469,860.00","$47,398,292.50","$32,852,840.00",Volatility Hedged Equity,2019-10-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.55,1,100.00%,40%,20%,1099,$30.52,$31.36,$31.11,$31.43,59.86,B,C+,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
LOUP,Innovator Deepwater Frontier Tech ETF,Equity,"$102,400,000",22.90%,"7,147",$65.56,2.29%,No,False,4.17%,6.89%,54.75%,24.18%,14.90%,"$19,785,000.00",$0.00,$0.00,"$24,849,000.00","$22,449,500.00","$70,014,500.00",Global Equities,2018-07-25,0.70%,N/A,$0.00,N/A,N/A,0.00%,0.03,1.37,31,47.83%,40%,20%,1099,$61.72,$65.86,$64.94,$65.92,62.50,B-,B-,N/A,C,C,N/A,6.67,65.07%,60.74%,53.41,7.08%,3.11%
MFEM,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,Equity,"$102,046,000",16.52%,"7,602",$21.78,1.40%,No,False,2.04%,2.54%,16.56%,11.15%,8.58%,"-$8,696,000.00",$0.00,"-$8,696,000.00","-$8,696,000.00","-$7,706,000.00","-$729,666,000.00",Emerging Markets Equities,2017-08-31,0.50%,N/A,$1.12,2025-07-01,$0.20,5.14%,7.47,0.78,736,10.48%,40%,20%,1099,$21.03,$21.85,$21.75,$21.80,63.93,B,B,N/A,A-,C+,N/A,5.57,4.19%,27.34%,511.09,3.75%,4.50%
FEBT,AllianzIM U.S. Large Cap Buffer10 Feb ETF,Equity,"$100,419,000",6.94%,"6,081",$36.14,0.89%,No,False,1.68%,2.32%,14.07%,N/A,N/A,"$65,499,582.50",$0.00,$0.00,"$62,222,627.50","$72,408,222.50","$72,408,222.50",Volatility Hedged Equity,2023-01-31,0.74%,N/A,$0.00,2024-01-16,$0.10,0.00%,0.05,-0.71,2,100.00%,40%,20%,1099,$35.25,$36.06,$35.96,$36.24,67.27,B,B,N/A,B+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
LGRO,Level Four Large Cap Growth Active ETF,Equity,"$100,353,000",9.68%,"5,172",$38.12,1.95%,No,False,2.98%,2.70%,27.60%,N/A,N/A,"-$770,025.50","-$937,532.50","-$750,906.00","$2,539,030.00","$45,954,176.50","$45,954,176.50",N/A,2023-08-22,0.50%,N/A,$0.11,2025-06-20,$0.02,0.28%,N/A,N/A,48,48.18%,40%,20%,1099,$36.82,$38.21,$37.91,$38.22,61.91,B-,B+,N/A,C+,B-,N/A,6.34,54.78%,46.92%,29.95,8.05%,7.90%
QQMG,Invesco ESG NASDAQ 100 ETF,Equity,"$100,197,000",14.59%,"13,677",$39.83,1.37%,No,False,3.69%,4.77%,29.03%,23.34%,N/A,"$19,355,250.00","$1,964,650.00","$1,964,650.00","$36,378,150.00","$64,834,000.00","$72,356,150.00",Large Cap Blend Equities,2021-10-27,0.20%,N/A,$0.18,2025-06-23,$0.04,0.44%,23.49,1.22,92,54.17%,40%,20%,1099,$38.03,$39.60,$39.52,$40.00,66.53,B-,A-,A+,C,B-,N/A,6.46,65.99%,51.70%,42.37,6.37%,13.97%
TCAL,T. Rowe Price Capital Appreciation Premium Income ETF,Equity,"$100,128,000",N/A,"50,509",$24.73,-0.20%,No,False,0.49%,0.82%,N/A,N/A,N/A,"$75,177,192.55",$0.00,"$17,249,514.80","$75,177,192.55","$75,177,192.55","$75,177,192.55",N/A,2025-03-26,0.34%,N/A,$0.83,2025-07-28,$0.20,3.38%,N/A,N/A,74,21.07%,40%,20%,1099,$24.46,$24.82,$24.62,$24.85,55.48,N/A,N/A,N/A,N/A,N/A,N/A,6.98,91.71%,73.13%,349.4,16.87%,4.64%
LGDX,Intech S&P Large Cap Diversified Alpha ETF,Equity,"$99,879,300",N/A,"15,116",$21.88,1.30%,No,False,1.78%,2.02%,N/A,N/A,N/A,"$74,369,715.00","$1,074,050.00","$4,319,005.00","$74,369,715.00","$74,369,715.00","$74,369,715.00",N/A,2025-02-28,0.25%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,258,37.91%,40%,20%,1099,$21.33,$21.89,$21.87,$21.89,61.51,N/A,N/A,N/A,N/A,N/A,N/A,6.28,47.69%,44.77%,112.28,12.29%,8.48%
BUZZ,VanEck Social Sentiment ETF,Equity,"$99,768,800",30.77%,"60,794",$32.53,1.78%,No,False,2.55%,4.97%,69.00%,26.85%,N/A,"$28,579,230.00",$0.00,"$19,641,582.50","$18,331,282.50","-$12,966,092.50","$108,546,237.46",Large Cap Growth Equities,2021-03-02,0.76%,N/A,$0.13,2024-12-23,$0.12,0.38%,18.41,1.43,76,33.00%,40%,20%,1099,$31.31,$32.94,$32.23,$32.68,63.33,B,C,N/A,C,C,N/A,5.22,1.60%,22.71%,17.42,5.07%,5.80%
ACSI,American Customer Satisfaction ETF,Equity,"$99,758,000",7.34%,242,$65.26,1.45%,No,False,2.68%,3.05%,20.46%,12.02%,12.62%,"$192,000.00",$0.00,"-$12,576,000.00","$146,500.00","$233,000.00","-$1,131,000.00",Large Cap Growth Equities,2016-10-31,0.65%,N/A,$0.42,2024-12-24,$0.42,0.65%,0.05,1.00,34,42.77%,40%,20%,1099,$62.79,$65.06,$65.26,$65.26,63.95,C,C,C+,B,B-,B,5.43,2.42%,25.30%,141.91,8.30%,1.16%
JPXN,iShares JPX-Nikkei 400 ETF,Equity,"$99,679,400",20.22%,"3,925",$84.46,1.81%,No,False,5.05%,9.05%,22.81%,14.62%,8.88%,"-$88,189,980.00",$0.00,$0.00,"-$65,450,115.00","$20,460,600.00","-$17,570,010.00",Japan Equities,2001-10-23,0.48%,N/A,$1.64,2025-06-16,$0.61,2.12%,12.22,0.66,389,17.78%,40%,20%,1099,$75.75,$84.16,$83.97,$84.70,68.24,B,B-,B,A,B,N/A,7.31,58.34%,83.98%,75.61,12.55%,6.84%
LLYX,Defiance Daily Target 2X Long LLY ETF,Equity,"$99,546,300",-44.74%,"1,015,841",$10.03,0.91%,No,False,-32.77%,-38.39%,-61.39%,N/A,N/A,"$97,306,719.50","$76,819,188.00","$85,199,231.00","$115,329,724.50","$116,329,704.50","$116,329,704.50",N/A,2024-08-07,1.29%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.00%,40%,20%,1099,$9.89,$18.77,N/A,N/A,30.81,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SIXS,ETC 6 Meridian Small Cap Equity ETF,Equity,"$99,536,300",0.26%,"2,445",$49.05,2.21%,No,False,2.46%,2.25%,7.14%,4.94%,10.78%,"$8,272,170.60","$1,710.89",$992.40,"$16,180,640.54","$30,078,723.53","$58,753,629.11",Small Cap Blend Equities,2020-05-11,0.52%,N/A,$0.64,2025-07-30,$0.02,1.31%,0.12,0.82,82,23.62%,40%,20%,1099,$46.94,$48.82,$48.47,$49.33,60.56,N/A,C,N/A,N/A,C,N/A,4.65,0.77%,15.87%,168.26,2.23%,13.86%
KLIP,KraneShares KWEB Covered Call Strategy ETF,Equity,"$99,062,900",15.44%,"21,466",$32.47,0.81%,No,False,1.22%,3.53%,24.14%,N/A,N/A,"-$20,509,271.13","-$14,030.63","$1,588,164.61","-$28,729,008.79","$181,186,852.90","$181,186,852.90",China Equities,2023-01-12,0.95%,N/A,$5.44,2025-07-30,$0.65,16.81%,0.05,2.10,3,100.00%,40%,20%,1099,$31.61,$32.39,$32.31,$32.56,68.30,B+,C,N/A,N/A,A,N/A,5.59,34.12%,27.49%,17.3,0.00%,2.67%
ECON,Columbia Research Enhanced Emerging Economies ETF,Equity,"$98,800,000",20.78%,"90,086",$25.06,1.54%,No,False,2.34%,4.53%,22.24%,6.96%,1.70%,"-$6,333,500.00","$8,633,000.00","$7,414,500.00","$35,738,999.99","-$13,658,850.01","-$55,410,600.01",Emerging Markets Equities,2010-09-14,0.47%,N/A,$0.16,2024-12-18,$0.16,0.64%,21.88,0.52,202,27.13%,40%,20%,1099,$24.05,$24.98,$24.87,$25.21,66.36,B,B,C+,C,C,C+,6.04,27.87%,36.58%,297.62,5.59%,3.39%
RZG,Invesco S&P SmallCap 600® Pure Growth ETF,Equity,"$98,544,600",6.89%,"3,627",$52.84,3.04%,No,False,3.01%,2.41%,9.91%,7.25%,8.22%,"-$12,057,040.00","-$509,250.00","-$509,250.00","-$21,631,150.00","-$52,464,549.72","-$48,498,609.72",Small Cap Growth Equities,2006-03-01,0.35%,Charles Schwab,$0.35,2025-06-23,$0.05,0.66%,10.34,1.29,134,16.88%,40%,20%,1099,$50.30,$52.41,$51.92,$53.31,61.23,C,B-,C,C+,B-,C,5.28,7.41%,23.55%,126.95,2.14%,9.42%
FTRI,First Trust Indxx Global Natural Resources Income ETF,Equity,"$98,523,600",21.73%,"48,516",$14.45,0.42%,No,False,0.34%,-0.44%,14.29%,7.00%,12.91%,"-$25,454,100.00",$0.00,$0.00,"-$68,745,850.00","-$101,966,550.00","$130,330,950.00",Commodity Producers Equities,2010-03-11,0.70%,N/A,$0.45,2025-06-26,$0.15,3.10%,5.98,0.94,51,59.77%,40%,20%,1099,$14.06,$14.81,$14.41,$14.49,54.54,C,B-,B-,B+,A+,B,6.23,65.73%,42.37%,458.67,10.16%,8.16%
PSL,Invesco Dorsey Wright Consumer Staples Momentum ETF,Equity,"$98,491,000",6.97%,"5,242",$111.75,0.97%,No,False,4.29%,2.33%,17.02%,11.88%,9.70%,"$2,265,000.00","-$2,211,740.00","-$3,307,450.00","$2,127,910.00","-$52,456,300.00","-$50,571,400.00",Consumer Staples Equities,2006-10-12,0.60%,N/A,$0.81,2025-06-23,$0.28,0.72%,19.54,0.73,46,35.18%,40%,20%,1099,$107.32,$111.09,$111.12,$112.07,58.70,B-,B-,A-,A-,B-,B+,6.29,44.79%,45.04%,44.06,12.61%,19.72%
SMAY,FT Vest U.S. Small Cap Moderate Buffer ETF - May,Equity,"$98,244,900",-0.83%,"27,508",$24.58,1.40%,No,False,1.28%,1.21%,4.66%,N/A,N/A,"$26,383,550.00","-$2,435,500.00","-$2,438,300.00","$21,547,650.00","$90,922,450.00","$90,922,450.00",N/A,2023-05-19,0.90%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,2,100.00%,40%,20%,1099,$24.05,$24.52,$24.45,$24.65,61.30,A-,C+,B,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XJR,iShares ESG Select Screened S&P Small-Cap ETF,Equity,"$97,925,800",0.70%,"7,713",$41.27,3.23%,No,False,3.14%,1.45%,8.89%,5.67%,N/A,"$10,196,778.25",$0.00,$0.00,"$20,820,990.60","$52,403,910.30","$83,697,605.30",Small Cap Blend Equities,2020-09-22,0.12%,N/A,$0.81,2025-06-16,$0.15,1.95%,12.86,1.02,554,7.65%,40%,20%,1099,$39.39,$41.16,$40.69,$41.55,60.05,N/A,A,N/A,N/A,C,N/A,5.77,37.53%,30.40%,77.34,2.62%,8.71%
SWP,SWP Growth & Income ETF,Equity,"$97,834,800",9.36%,"14,417",$27.13,1.01%,No,False,1.15%,2.58%,N/A,N/A,N/A,"$7,721,479.00","$537,247.00","$6,181,055.00","$91,132,489.00","$91,132,489.00","$91,132,489.00",N/A,2024-09-25,0.99%,N/A,$0.48,2025-06-27,$0.15,1.76%,N/A,N/A,47,35.97%,40%,20%,1099,$26.51,$27.25,$27.01,$27.19,63.59,N/A,N/A,N/A,N/A,N/A,N/A,6.67,66.83%,60.94%,156.23,13.09%,3.06%
BAMV,Brookstone Value Stock ETF,Equity,"$97,778,400",5.20%,"18,083",$31.92,1.53%,No,False,1.11%,-0.72%,12.42%,N/A,N/A,"$13,479,000.00",$0.00,"-$5,646,400.00","$16,305,500.00","$83,195,500.00","$83,195,500.00",N/A,2023-09-27,0.95%,N/A,$1.15,2025-05-28,$0.09,3.59%,N/A,N/A,31,34.71%,40%,20%,1099,$31.17,$32.72,$31.72,$32.02,52.82,B,C+,N/A,B,B-,N/A,6.2,66.95%,41.39%,62.56,18.37%,5.54%
HUSV,First Trust Horizon Managed Volatility Domestic ETF,Equity,"$97,671,800",7.15%,"19,650",$39.80,-0.10%,No,False,0.38%,0.49%,11.45%,7.54%,9.41%,"-$1,632,400.00",$0.00,"$9,947,050.00","$2,117,500.00","-$10,053,246.00","-$161,523,311.50",Volatility Hedged Equity,2016-08-24,0.70%,N/A,$0.51,2025-06-26,$0.12,1.28%,22.05,0.77,76,22.30%,40%,20%,1099,$39.45,$40.16,$39.69,$39.88,50.48,B+,C,A-,B+,C+,N/A,6.87,89.50%,68.79%,369.99,17.59%,3.94%
DSMC,Distillate Small/Mid Cash Flow ETF,Equity,"$97,277,900",0.59%,"5,794",$34.96,3.31%,No,False,3.24%,2.38%,4.99%,N/A,N/A,"$1,843,117.50",$0.00,$0.00,"-$569,905.00","$93,334,212.60","$93,334,212.60",N/A,2022-10-05,0.55%,N/A,$0.44,2025-06-25,$0.11,1.26%,0.00,1.33,151,16.46%,40%,20%,1099,$32.89,$35.17,$34.73,$35.07,60.31,B+,B,B-,C+,B,N/A,6.11,60.24%,38.40%,128.26,3.75%,11.49%
CPAI,Counterpoint Quantitative Equity ETF,Equity,"$97,227,000",5.64%,"15,005",$36.28,0.67%,No,False,1.34%,1.41%,20.83%,N/A,N/A,"$39,150,600.00",$0.00,"$2,506,200.00","$54,233,900.00","$85,648,500.00","$85,648,500.00",N/A,2023-11-28,0.75%,N/A,$0.14,2024-12-12,$0.14,0.39%,N/A,N/A,51,24.22%,40%,20%,1099,$35.53,$36.30,$36.10,$36.37,55.61,B,B-,N/A,C+,C+,N/A,6.32,52.50%,46.35%,99.5,8.27%,3.40%
ILDR,First Trust Innovation Leaders ETF,Equity,"$97,045,100",18.68%,"31,587",$30.30,1.51%,No,False,0.77%,3.06%,35.63%,22.00%,N/A,"$36,737,100.00","$3,003,900.00","$22,629,100.00","$44,393,000.00","$73,854,000.00","$77,949,300.00",Global Equities,2021-05-25,0.76%,N/A,$0.00,2021-12-23,$0.03,0.00%,32.31,1.09,76,43.50%,40%,20%,1099,$29.53,$31.10,$30.05,$30.45,58.85,C,C+,C,C+,C,N/A,6.42,49.75%,49.97%,64.35,16.87%,12.57%
CNEQ,Alger Concentrated Equity ETF,Equity,"$96,914,900",26.28%,"45,614",$32.67,1.74%,No,False,5.69%,11.46%,58.21%,N/A,N/A,"$67,363,537.20","$5,945,962.50","$26,702,424.70","$74,457,787.20","$80,768,237.20","$80,768,237.20",N/A,2024-04-05,0.55%,N/A,$0.04,2024-12-18,$0.04,0.14%,N/A,N/A,30,62.82%,40%,20%,1099,$29.53,$32.46,$32.41,$32.82,70.79,B-,B+,N/A,N/A,C+,N/A,5.18,1.47%,22.29%,228.5,15.26%,13.12%
BAMD,Brookstone Dividend Stock ETF,Equity,"$96,831,000",-0.28%,"13,341",$30.98,0.78%,No,False,0.34%,-0.88%,5.31%,N/A,N/A,"$10,750,900.00",$0.00,"$2,104,000.00","$16,283,200.00","$82,692,400.00","$82,692,400.00",N/A,2023-09-28,0.95%,N/A,$1.42,2025-05-28,$0.32,4.57%,N/A,N/A,31,34.07%,40%,20%,1099,$30.43,$31.65,$30.89,$31.02,50.26,B+,C+,N/A,B,B,N/A,7.11,95.70%,77.82%,429.97,17.11%,7.13%
